model,part_id,horizon,target_month,prediction,lower,upper,fallback_level,origin_month,part_name,project,project_code,vendor,vendor_code,vendor_origin,category,category_code,oem,is_anomaly_part
xgboost,KDQ-BDY-00011,1,2026-07-01,769.9485186934471,747.5999127985673,794.8686547487982,,2026-06-01,Body Stampings A34 - SKODA Kodiaq (Bharat Forge),SKODA Kodiaq,KDQ,Bharat Forge,BFL,domestic,Body Stampings,BDY,SKODA,False
xgboost,KDQ-BDY-00071,1,2026-07-01,716.3788932657242,695.5852048978657,739.5651960560169,,2026-06-01,Body Stampings A24 - SKODA Kodiaq (JBM Auto),SKODA Kodiaq,KDQ,JBM Auto,JBM,domestic,Body Stampings,BDY,SKODA,False
xgboost,KDQ-BDY-00131,1,2026-07-01,1446.0033050847053,1404.031462547921,1492.8046148142787,,2026-06-01,Body Stampings A01 - SKODA Kodiaq (Endurance Technologies),SKODA Kodiaq,KDQ,Endurance Technologies,END,domestic,Body Stampings,BDY,SKODA,False
xgboost,KDQ-BDY-00191,1,2026-07-01,1620.2609884738922,1573.2311242698563,1672.7023183779545,,2026-06-01,Body Stampings C18 - SKODA Kodiaq (Endurance Technologies),SKODA Kodiaq,KDQ,Endurance Technologies,END,domestic,Body Stampings,BDY,SKODA,False
xgboost,KDQ-BDY-00251,1,2026-07-01,870.9459965157508,845.6658273105633,899.1350146164237,,2026-06-01,Body Stampings A05 - SKODA Kodiaq (Endurance Technologies),SKODA Kodiaq,KDQ,Endurance Technologies,END,domestic,Body Stampings,BDY,SKODA,False
xgboost,KDQ-BDY-00311,1,2026-07-01,913.7123987030983,887.1908874538364,943.2855931937914,,2026-06-01,Body Stampings C29 - SKODA Kodiaq (Endurance Technologies),SKODA Kodiaq,KDQ,Endurance Technologies,END,domestic,Body Stampings,BDY,SKODA,False
xgboost,KDQ-BDY-00371,1,2026-07-01,764.757258632183,742.5593347925189,789.5093744837354,,2026-06-01,Body Stampings B17 - SKODA Kodiaq (Sandhar Technologies),SKODA Kodiaq,KDQ,Sandhar Technologies,SND,domestic,Body Stampings,BDY,SKODA,False
xgboost,KDQ-BDY-00431,1,2026-07-01,1286.3739024829865,1249.0354796117595,1328.0086506377424,,2026-06-01,Body Stampings B22 - SKODA Kodiaq (Endurance Technologies),SKODA Kodiaq,KDQ,Endurance Technologies,END,domestic,Body Stampings,BDY,SKODA,False
xgboost,KDQ-BRK-00029,1,2026-07-01,1840.422734618187,1787.0024326403934,1899.9898145365614,,2026-06-01,Braking A03 - SKODA Kodiaq (Rane Group),SKODA Kodiaq,KDQ,Rane Group,RNE,domestic,Braking,BRK,SKODA,False
xgboost,KDQ-BRK-00089,1,2026-07-01,2113.2015501499177,2051.8635418621807,2181.5973829407612,,2026-06-01,Braking A06 - SKODA Kodiaq (Endurance Technologies),SKODA Kodiaq,KDQ,Endurance Technologies,END,domestic,Braking,BRK,SKODA,False
xgboost,KDQ-BRK-00149,1,2026-07-01,4219.241739807128,4096.7735896271815,4355.8016209597445,,2026-06-01,Braking A22 - SKODA Kodiaq (Bosch India),SKODA Kodiaq,KDQ,Bosch India,BSH,international,Braking,BRK,SKODA,False
xgboost,KDQ-BRK-00209,1,2026-07-01,3573.8013473510746,3470.0678172261346,3689.4709195997675,,2026-06-01,Braking C35 - SKODA Kodiaq (ZF India),SKODA Kodiaq,KDQ,ZF India,ZFI,international,Braking,BRK,SKODA,False
xgboost,KDQ-BRK-00269,1,2026-07-01,2525.3773516988754,2452.0754856666554,2607.113657006964,,2026-06-01,Braking B02 - SKODA Kodiaq (Endurance Technologies),SKODA Kodiaq,KDQ,Endurance Technologies,END,domestic,Braking,BRK,SKODA,False
xgboost,KDQ-BRK-00329,1,2026-07-01,4126.830578798055,4007.044764602318,4260.399482437932,,2026-06-01,Braking C08 - SKODA Kodiaq (Rane Group),SKODA Kodiaq,KDQ,Rane Group,RNE,domestic,Braking,BRK,SKODA,False
xgboost,KDQ-BRK-00389,1,2026-07-01,3776.4443919944765,3666.8289237501426,3898.672704367449,,2026-06-01,Braking A10 - SKODA Kodiaq (ZF India),SKODA Kodiaq,KDQ,ZF India,ZFI,international,Braking,BRK,SKODA,False
