part_id,nomination_month,sop_month,bg_unit_price,sop_unit_price,volume
KDQ-BDY-00011,2023-07,2026-06,671.64,765.35,4472
KDQ-BDY-00071,2023-07,2026-06,676.88,710.78,4426
KDQ-BDY-00131,2023-07,2026-06,1199.83,1448.36,3398
KDQ-BDY-00191,2023-07,2026-06,1448.93,1613.2,3904
KDQ-BDY-00251,2023-07,2026-06,621.89,870.38,4945
KDQ-BDY-00311,2023-07,2026-06,882.23,909.79,4278
KDQ-BDY-00371,2023-07,2026-06,744.29,757.74,5036
KDQ-BDY-00431,2023-07,2026-06,1111.38,1279.76,4508
KDQ-BRK-00029,2023-07,2026-06,1780.1,1807.4,14644
KDQ-BRK-00089,2023-07,2026-06,1823.8,2073.4,7654
KDQ-BRK-00149,2023-07,2026-06,3770.75,4170.24,4694
KDQ-BRK-00209,2023-07,2026-06,3246.26,3539.76,8168
KDQ-BRK-00269,2023-07,2026-06,2396.7,2506.04,8865
KDQ-BRK-00329,2023-07,2026-06,3911.91,4107.91,4075
KDQ-BRK-00389,2023-07,2026-06,3079.53,3737.36,3412
KDQ-BRK-00448,2023-07,2026-06,2502.33,2907.38,7810
KDQ-CHS-00017,2023-07,2026-06,1729.35,2088.48,4634
KDQ-CHS-00077,2023-07,2026-06,3845.47,4136.24,4607
KDQ-CHS-00137,2023-07,2026-06,2547.59,3074.09,4644
KDQ-CHS-00197,2023-07,2026-06,4044.21,4720.52,4305
KDQ-CHS-00257,2023-07,2026-06,5315.55,5238.1,4498
KDQ-CHS-00317,2023-07,2026-06,3167.68,3509.41,4564
KDQ-CHS-00377,2023-07,2026-06,2527.38,3209.26,15018
KDQ-CHS-00436,2023-07,2026-06,1961.88,2007.22,4923
KDQ-ELC-00047,2023-07,2026-06,2290.6,2937.11,9908
KDQ-ELC-00107,2023-07,2026-06,4035.25,5402.76,14684
KDQ-ELC-00167,2023-07,2026-06,3613.28,3837.79,3554
KDQ-ELC-00227,2023-07,2026-06,3514.4,4391.53,15776
KDQ-ELC-00287,2023-07,2026-06,1624.59,1846.28,4635
KDQ-ELC-00347,2023-07,2026-06,4987.86,5638.61,3703
KDQ-ELC-00407,2023-07,2026-06,5011.25,5621.28,9467
KDQ-ELC-00466,2023-07,2026-06,1545.3,1740.27,3665
KDQ-FST-00005,2023-07,2026-06,42.68,47.27,3578
KDQ-FST-00065,2023-07,2026-06,46.54,50.6,4418
KDQ-FST-00125,2023-07,2026-06,22.9,28.25,8051
KDQ-FST-00185,2023-07,2026-06,28.93,31.19,4445
KDQ-FST-00245,2023-07,2026-06,28.33,33.79,3717
KDQ-FST-00305,2023-07,2026-06,54.49,61.55,3616
KDQ-FST-00365,2023-07,2026-06,38.27,47.02,9382
KDQ-FST-00425,2023-07,2026-06,71.97,82.0,17335
