month,price,part_id,part_name,project_code,project,oem,segment,project_volume,project_localisation,vendor_code,vendor,vendor_origin,vendor_import_dependency,vendor_reprice_months,category_code,category,material,complexity_tier,annual_part_volume,weight_kg,true_eur_beta,true_usd_beta,true_fx_lag,is_anomaly_part,anomaly_type,fx_eurinr,fx_usdinr
2023-07-01,35.53,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,90.83948571428571,82.14904761904762
2023-08-01,36.01,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,90.35175652173913,82.82347826086956
2023-09-01,35.75,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,88.73720952380953,83.05904761904762
2023-10-01,35.74,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,87.89371818181819,83.21363636363637
2023-11-01,36.73,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,90.0102,83.27818181818182
2023-12-01,36.13,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,90.80093684210526,83.28210526315789
2024-01-01,36.24,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,90.63474545454545,83.11363636363636
2024-02-01,37.05,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,89.56081904761905,82.96904761904761
2024-03-01,38.04,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,90.251545,83.0135
2024-04-01,38.66,KUS-FST-00000,Fasteners A31 - SKODA Kushaq (Sundram Fasteners),KUS,SKODA Kushaq,SKODA,Compact SUV,48000,0.95,SFL,Sundram Fasteners,domestic,0.12,6,FST,Fasteners,Steel,A,51789,0.496,0.000155,0.207815,3,True,supplier_resourcing,89.46758571428572,83.39857142857143
